NpcId,DisplayName,Race,Role,PreferredTags,PreferredFoodTypes,AvoidTags,Notes,RequestAvailable,RequestUnlockLevel,RequestUnlockEvent
Yorn,바바리안 요른,바바리안,북방 방어선 전사,매콤함|뜨거움|단짠|든든함|거친 식감,구이|스튜|고기요리,차가움|싱거움|물컹함|작은 양,대륙 공용어가 어눌하지만 고대어와 용족 언어에는 능숙한 전투민족 손님,TRUE,5,
NoviceAdventurer,지친 초보 모험가 루미,인간,초보 모험가,달콤함|상큼함|부드러움,음료|죽|가벼운 간식,너무 매움|기름짐|질김,첫 던전 탐험 뒤 기운을 차릴 음식을 찾는다,TRUE,5,
Liora,엘프 약초학자 리오라,엘프,세계수 약초학자,향긋함|산뜻함|은은한 단맛|마력 안정,샐러드|수프|허브차|채소요리,탄맛|과한 기름|강한 냄새|마물 고기,세계수와 마력 흐름을 중시하며 마물 식재료를 꺼리는 온건한 엘프,TRUE,5,
Bram,드워프 대장장이 브람,드워프,붉은 용 비호 아래의 대장장이,짭짤함|훈연향|묵직함|술안주감,스튜|구이|빵요리|맥주와 맞는 음식,싱거움|차가움|흐물거림|물처럼 묽음,불과 금속에 집착하는 장인형 드워프,TRUE,5,
Sera,고양이 수인 세라,수인,고양이 수인 정찰꾼,감칠맛|바삭함|담백함|휴대성,생선요리|튀김|가벼운 구이|곡물 간식,쓴맛|눅눅함|강한 향신료|끈적함,민첩한 감각과 정찰 경험을 살려 일하며 수인 국가의 곡물길을 잘 안다,TRUE,5,
Ruk,늑대 수인 루크,수인,늑대 수인 호위 용병,고소함|훈연향|든든함|나눠먹기,고기요리|꼬치|스튜|대용량 요리,단맛 과다|작은 양|묽은 국물|향만 강한 음식,군사국가 출신답게 무리와 보급을 중시하는 호위 용병,TRUE,5,
Neris,반룡 학자 네리스,용,고대문자 연구자,따뜻함|광물향|깊은 감칠맛,수프|찜|돌솥요리,얼음처럼 차가움|비린내|날것,뜨거운 돌판과 광물성 향을 흥미롭게 여긴다,TRUE,5,
Talia,인간 행상 탈리아,인간,순회 상인,새콤달콤|휴대성|깔끔함,파이|샌드위치|말린 간식,손에 묻음|너무 뜨거움|강한 냄새,길 위에서 먹기 편한 음식을 선호한다,TRUE,5,
Elmar,엘프 음유시인 엘마르,엘프,세계수 출신 음유시인,향긋함|가벼움|과일향|마력의 여운,디저트|차|샐러드|과일요리,무거운 기름|텁텁함|과한 짠맛|육향 과다,세계수에서 태어난 긴 수명의 엘프지만 바깥 세상 유행에는 서툴다,TRUE,5,
Hilda,드워프 광부 힐다,드워프,화산지대 광부,짭짤함|바삭함|뜨거움|술안주감,파이|구이|걸쭉한 스튜|맥주와 맞는 음식,물처럼 묽음|허전함|풋내|싱거움,불의 날과 붉은 용 공양을 중요하게 여기는 현장형 드워프,TRUE,5,
Kael,화산룡 카엘,용,화산 감시자,불맛|매콤함|쓴향,직화구이|돌솥요리|매운 수프,차가움|지나친 단맛|약한 향,사람 크기로 모습을 낮춰 가게에 들르는 용,TRUE,5,
Miri,토끼 수인 미리,수인,토끼 수인 정원 관리인,달큰함|아삭함|따뜻함|곡물향,채소요리|죽|수프|곡물요리,질긴 고기|매운맛|탄맛|거친 육향,곡물지대 출신답게 작물과 정원에 애정이 깊은 수인,TRUE,5,
